station,QICode,alpha,beta,CC,usgsdarea,model_basin_area,clay_pct,sand_pct,silt_pct,bedrock,density,frags,imperv,population,precip,rr,relief,temp
1010000,0,4.43317,0.740479,0.892277,3473.17,3485.49,12.8233,45.437,41.6035,815.731,754.726,11.7612,0.310785,1.07578,83.64,0.00504281,48.045,3.01728
1010070,0,6.36457,0.466103,0.912625,442.888,426.735,13.6223,44.1141,42.1006,749.678,754.021,11.2535,0.804253,1.6906,84.0342,0.00470981,32.6314,2.88648
1010500,0,7.93475,0.613832,0.971819,6941.17,6922.22,12.928,45.2328,41.6894,853.143,754.298,11.9444,0.26598,0.96395,83.5879,0.00596376,56.305,2.84013
1011000,0,6.82315,0.592501,0.968418,3828,3152.38,12.8776,43.5059,43.4397,961.023,797.937,13.427,3.53794E-06,0.00448958,82.5983,0.0055483,48.7553,2.87014
1013500,0,3.32252,0.672132,0.752424,2261.06,2282.46,14.1489,42.0768,43.6691,1014.91,802.261,13.2359,0.235635,1.09599,82.0996,0.00650556,58.057,2.96213
1015800,5,6.3902,0.632019,0.932183,2310.27,2239.52,12.2762,44.4218,43.1042,998.569,892.583,12.8027,0.0145511,0.0499891,82.2398,0.00545696,54.2537,3.30817
1017000,5,3.89631,0.73673,0.957129,4283.84,4147.99,12.7608,43.8577,43.2299,1005.14,881.072,12.7763,0.0872802,0.31945,81.5396,0.00513798,54.1726,3.24283
1017550,0,3.12099,0.756668,0.835358,9.8938,10.9118,17.8845,38.4425,43.7307,980.995,882.821,10.2502,1.94455,5.92261,78.7693,0.00339229,14.8868,3.87388
1017960,0,3.65501,0.592379,0.950754,227.919,219.508,12.8937,44.5464,42.3681,949.563,949.589,10.1795,1.01605,3.12349,84.193,0.00754183,63.3644,4.11835
1018000,0,4.57631,0.553656,0.957822,453.248,504.816,13.9991,43.6717,42.1546,1025.01,938.689,10.5866,0.431474,1.82337,83.3219,0.00426406,42.5223,3.97562
1018035,0,2.95155,0.652565,0.85889,665.627,755.574,12.8651,45.8843,41.1194,944.846,982.892,9.13994,1.07268,13.5284,84.5729,0.00407209,37.6481,4.25533
1018500,6,3.7324,0.634085,0.976352,1069.67,1015.23,11.2545,50.4297,38.2695,1104.31,980.488,9.79582,0.150499,1.34518,89.2119,0.0045374,37.4427,4.82192
1019000,6,1.28912,1.04652,0.87287,587.927,587.591,10.5659,52.4631,36.9363,1074.8,982.788,11.5975,3.38568E-05,0.103829,92.6232,0.00555421,50.584,5.25113
1021000,6,14.7369,0.509655,0.802136,3558.64,3515.41,10.7724,51.8498,37.3035,1029.66,1010.82,9.00371,0.191126,1.16648,91.6274,0.00402246,39.202,5.24661
1021200,6,5.3406,0.593213,0.838287,240.61,187.692,10.3823,54.165,35.3844,841.396,1020.28,8.75204,0.194744,1.29997,97.9446,0.00370198,27.4494,5.9899
1021230,0,3.80074,0.411907,0.920301,84.6926,65.7583,10.6928,51.7434,37.547,846.832,1015.67,9.65305,0.000408178,0.539359,99.4342,0.00319029,36.2669,5.86539
1021452,0,3.02572,0.666816,0.96676,48.6918,49.3582,10.0523,54.3266,35.548,907.119,1007.88,9.63868,0.000212885,0.0350929,99.2392,0.00579053,56.1258,5.65079
1021470,0,2.5821,0.365499,0.910394,20.176,19.9604,11.5652,53.5651,34.7609,1299.69,1070.98,5.2825,0,0,101.691,0.00147689,9.62443,6.02391
1021480,0,3.54509,0.492642,0.965307,75.3687,76.8828,10.5423,52.7633,36.5784,908.229,1016.58,8.86267,8.49608E-05,0,96.8132,0.00488363,30.6502,5.7324
1021500,0,10.928,0.558025,0.856928,1186.21,1239.14,9.78411,55.0727,35.0573,964.926,1012.13,9.24216,0.00500667,0.100028,98.4393,0.00419599,42.2545,5.74811
1022210,0,2.1164,0.606848,0.866667,57.7567,49.3582,10.0523,54.3266,35.548,907.119,1007.88,9.63868,0.000212885,0.0350929,99.2392,0.00579053,56.1258,5.65079
1022220,0,2.77181,0.445046,0.950649,66.0447,49.3582,10.0523,54.3266,35.548,907.119,1007.88,9.63868,0.000212885,0.0350929,99.2392,0.00579053,56.1258,5.65079
1022260,0,3.08134,0.669295,0.88933,156.953,164.997,11.4188,52.1693,36.3334,1232.15,1094.89,5.88843,0.00448264,0.0684706,101.696,0.00241965,21.5601,6.05746
1022330,0,5.19504,0.579538,0.934472,249.934,217.54,10.5801,51.6642,37.677,995.757,1020.95,8.81865,0.00257545,0.259283,99.2359,0.00588534,53.8606,5.75919
1022500,0,7.65953,0.496983,0.945902,587.927,526.943,10.1538,53.4279,36.3591,995.388,1055.53,7.75398,0.0793875,1.04335,100.088,0.00420688,45.2019,6.03364
1022800,0,1.80224,0.611997,0.834571,4.0145,5.24,11.375,55.1249,33.5001,642.961,1041.09,6.91675,1.35613,26.0025,102.09,0.0039977,15.2682,6.99965
1022840,0,1.87973,0.709445,0.932894,3.4965,4.37256,12.25,56.75,30.7,968.301,930.85,13.8999,0.573529,0,108.213,0.0435251,109.329,6.56875
1027200,0,6.64771,0.538866,0.930228,600.877,584.55,12.397,42.7762,44.572,970.208,777.939,13.078,8.05522E-05,0.0334025,82.7032,0.00637618,51.1154,2.96017
1029200,0,5.97675,0.429163,0.924044,448.068,521.043,11.7876,45.7984,42.1981,1013.81,911.398,13.2718,0.000033564,0.0699752,82.7962,0.0046305,35.4152,3.59118
1029500,6,24.8356,0.432025,0.828795,2167.82,2629.88,11.4442,46.8909,41.4497,1074.02,880.878,13.3615,1.03067E-05,0.0167642,84.0505,0.00876766,82.9008,3.4795
1030000,6,NaN,NaN,NaN,8047.09,8743.33,11.4275,46.7523,41.65,1100.55,878.518,12.9669,0.0592151,0.45385,84.4904,0.00878916,92.6291,3.56567
1030500,0,11.6222,0.529339,0.964487,3672.6,3624.29,10.7819,49.0387,40.065,1055.49,997.164,9.73433,0.134364,1.09994,86.6469,0.00449624,47.2336,4.50212
1031300,0,4.87048,0.54416,0.960182,305.619,281.172,10.7021,47.3806,41.8554,1126.41,915.29,13.2858,0.0417148,0.485973,90.0796,0.00992539,71.5568,3.79574
1031450,0,3.96063,0.762744,0.960875,247.085,189.663,10.5333,45.8917,43.4208,1225.93,980.346,11.8765,0.0786346,0.65898,90.6115,0.00672549,62.7613,4.428
1031500,0,7.6334,0.597455,0.928038,771.817,809.567,10.7032,46.5872,42.6036,1101.35,980.546,11.2614,0.426356,3.77106,89.8663,0.00730164,71.9053,4.41417
1033000,6,1.79012,0.781292,0.652005,844.336,843.664,10.6022,47.7992,41.5446,1167.03,954.129,12.0857,0.0941337,0.833859,89.2763,0.0113338,117.454,4.29286
1034000,5,22.84,0.433823,0.960592,3009.57,3007.29,10.7034,47.2998,41.9315,1144.21,968.817,11.5843,0.281213,3.17024,89.7233,0.0109963,112.181,4.35188
1034500,6,38.6222,0.45073,0.900181,16632.9,17256.5,11.059,47.705,41.1037,1102.57,935.391,11.7043,0.145892,1.3203,86.2223,0.00776475,83.7317,4.06118
1036390,6,28.8997,0.453659,0.991209,19463.8,19969.8,10.925,48.276,40.6667,1095,950.932,11.2663,0.210902,2.16033,86.7034,0.00724257,79.5835,4.27698
1037380,0,2.29498,0.614566,0.950596,37.2958,36.7518,10.4581,49.6733,39.8151,976.012,1159.16,8.55939,1.2556,16.6181,99.5698,0.013492,79.3118,6.94364
1038000,0,2.90269,0.426886,0.685018,375.548,382.425,9.90302,49.1629,40.7526,799.651,1145.61,7.92183,0.97438,7.64031,94.3207,0.00445439,38.3627,7.05337
1042500,6,14.0871,0.401101,0.97146,4118.08,3145.74,10.2234,48.1324,41.4969,1260.82,886.009,12.0752,0.0510137,0.239655,87.0799,0.0172838,138.712,3.29122
1044550,0,5.80577,0.419537,0.815366,499.868,506.583,10.4517,47.8981,41.4698,1197.7,843.299,12.367,5.87621E-06,0,86.3884,0.0172016,132.446,2.89721
1046500,6,57.1374,0.302202,0.959243,7031.82,3715.49,10.2166,48.0823,41.5577,1252.86,892.804,12.0919,0.0678206,0.465176,87.4215,0.0163591,135.726,3.40035
1047000,0,7.58983,0.610642,0.890454,914.266,909.746,9.97503,48.8996,41.0231,1466.01,954.727,11.801,0.333946,2.4087,90.865,0.0214769,169.568,4.08414
1048000,0,4.92531,0.669614,0.968443,1336.43,1332.11,9.93192,47.9823,42.0935,1415.47,1021.19,10.1082,0.870435,9.85864,92.1613,0.0140097,131.014,4.89622
1049000,5,5.34643,0.574306,0.961428,1481.47,1442.56,11.2894,43.812,44.6691,966.399,1097.22,9.41859,1.09986,11.6424,89.9611,0.00478227,40.3506,5.65003
1049130,0,2.71493,0.693736,0.914216,7.5628,7.85799,9.69448,46.7776,43.139,800.084,1138.84,9.13898,1.25147,4.55523,92.7269,0.00352843,18.1501,6.86481
1049205,6,96.155,0.299887,0.887668,13413.5,10300.7,10.5281,46.7098,42.6134,1209.92,1002.12,10.5468,0.784932,8.40224,89.3632,0.0117871,107.183,4.7157
1049265,6,70.2261,0.360626,0.866013,13993.7,10339.9,10.5342,46.6932,42.6243,1208.96,1002.85,10.5382,0.791878,8.44069,89.3621,0.0117597,107.351,4.72432
1049373,0,2.02676,0.731075,0.8,84.6926,87.4155,11.5718,45.0642,43.3673,1096.98,1134.42,8.24363,2.22099,25.496,92.4839,0.00374602,33.0321,6.77726
1049500,6,5.94268,0.505628,0.958972,562.027,504.523,11.6972,47.4799,40.8591,973.735,1150.74,7.17306,2.33398,28.631,93.186,0.00362272,31.8202,7.05932
1049550,0,3.02535,0.572498,0.846957,61.3827,62.1108,9.97043,50.4702,39.4889,806.127,1129.41,7.16727,1.7017,14.1694,91.9694,0.00446873,23.6443,7.15698
1052500,0,5.65857,0.505941,0.9028,393.678,373.736,10.2822,47.7955,42.0374,1104.58,847.41,13.0839,3.82832E-05,0,94.5701,0.0169005,130.187,2.791
1053500,6,109.065,0.01278,0.075968,2709.13,2648.07,10.0068,49.6428,40.3501,1150.02,830.933,12.655,0.0652202,0.480094,90.4108,0.016078,129.06,3.05234
1054000,6,27.6782,0.324919,0.770755,3524.97,3516.62,9.87313,49.9672,40.1786,1196.68,855.55,12.5159,0.252903,3.36773,91.1459,0.0169088,137.371,3.27626
1054200,0,4.47182,0.561397,0.905284,180.263,174.092,9.49991,53.9875,36.5477,1380.34,892.303,13.9902,1.18695E-05,0.015056,109.174,0.0306032,226.236,3.85419
1054300,0,5.34921,0.586299,0.813259,336.699,341.812,9.02716,51.9229,39.0818,1365.14,947.157,12.0756,0.224166,1.24743,91.1634,0.0291164,207.024,4.24073
1054500,6,12.7963,0.561527,0.718661,5356.1,5121.91,9.69541,50.765,39.5716,1271.62,885.386,12.5845,0.352841,3.18538,93.2717,0.0206934,171.418,3.62503
1055000,0,3.862,0.738662,0.899849,250.97,253.482,9.69216,50.1658,40.1626,1165.91,904.399,12.0414,0.000829937,0.363352,95.2245,0.0201007,139.774,3.37918
1055220,5,208.884,0.075241,0.863226,215.228,277.775,11.0029,48.3608,40.5947,1154.12,1072.04,8.7639,1.31209,7.55601,93.1303,0.00621121,45.1165,6.49912
1055500,0,5.59459,0.614668,0.943016,437.708,452.093,9.88423,48.8511,41.2617,1223.81,1085.97,9.29494,1.20964,9.78114,94.9574,0.00898709,83.4102,6.18011
1056400,0,4.08151,0.599157,0.805195,20.7458,21.9136,8.36976,53.7706,37.8196,1089.69,1093.16,9.71976,1.39983,13.0805,97.1303,0.0187788,104.05,6.27242
1056480,0,0.85616,0.406259,0.580793,4.8692,5.26265,6.33331,58.1667,35.1666,1064.87,1087.38,9.66669,1.46096,0,95.5834,0.00583115,28.4594,6.6309
1056505,6,2.42027,0.713279,0.964935,47.3968,49.118,10.954,49.2569,39.7398,1125.37,1107.48,8.49662,5.49793,25.5412,96.0067,0.00544472,38.8087,6.79961
1057000,0,3.44383,0.778038,0.793522,190.364,187.967,8.95104,52.6141,38.4965,1252.06,1046.27,10.681,1.0246,9.46552,95.6208,0.013923,106.053,5.59001
1059000,6,103.252,0.260445,0.978165,8451.13,8383.46,9.71445,50.616,39.696,1269.84,953.954,11.4264,0.964678,9.46138,93.7078,0.0172172,153.837,4.48069
1059800,0,2.39732,0.470116,0.833932,35.7418,34.3419,10.2077,51.7088,38.1027,1237.86,1169.68,6.79279,3.43748,46.9114,96.8178,0.00462624,23.9225,7.10413
1060000,0,5.26147,0.556884,0.826103,365.188,356.642,10.1537,51.8237,37.996,1110.96,1177.25,6.51908,2.68166,31.8823,96.1311,0.00352787,27.3634,7.3037
1063100,0,3.64766,0.751024,0.895719,388.498,366.432,7.95533,56.7909,35.1387,1251.25,1061.76,10.2122,0.956955,6.73281,95.3712,0.0078914,74.0397,6.10578
1063310,0,1.92659,0.711929,0.95569,2.0979,2.64548,7.49996,58.5834,33.8333,948.251,1127.5,7.83334,1.47711,1.66648,97.4028,0.00352331,12.5992,6.79931
1063452,0,1.36533,0.64499,0.978022,1.3468,2.64489,11.8334,51.9165,36.1667,962.262,1039.42,11,1.71503,5.33303,96.007,0.00149924,4.89855,7.03958
